,root,url,Product Code,Settlement Method,Price Quotation,Contract Unit,Minimum Price Fluctuation,Termination Of Trading,Trading Hours
268,T3,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-g-5-mw-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: T3L ,Deliverable ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 peak hours x # peak days/month ,"On the second to last business day of the month prior to the contract month, each T3/T3L open position converts into a strip of NYISO Zone G Day-Ahead Peak Calendar-Day 5 MW Futures - GN/GNL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
269,TC,http://www.cmegroup.com/trading/energy/natural-gas/tco-appalachia-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: TCCME ClearPort: TCClearing: TC ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
270,TIO,http://www.cmegroup.com/trading/metals/ferrous/iron-ore-62pct-fe-cfr-china-tsi-swap-futures_contract_specifications.html,CME Globex: TIOCME ClearPort: TIOClearing: TIO ,Financially Settled ,U.S. Dollars and cents ,500 dry metric tons ,$0.01 per dry metric ton ,"Trading terminates on the last business day of the contract month. Business days are based on the Singapore Public Holiday calendar. If the last business day of the contract month is a Singapore banking holiday, the last trade date will be the business day immediately preceding the holiday. ",CME Globex: 
271,TME,http://www.cmegroup.com/europe/products/energy/natural-gas/dutch-natural-gas-calendar-month_contract_specifications.html,,,,,,,
272,TN,http://www.cmegroup.com/trading/interest-rates/us-treasury/ultra-10-year-us-treasury-note_contract_specifications.html,CME Globex: TNCME ClearPort: TNClearing: TN ,Deliverable ,Points and fractions of points with par on the basis of 100 points ,"Face value at maturity of $100,000 ","One-half of one thirty-second (1/32) of one point ($15.625, rounded to the nearest cent per contract), except for intermonth spreads, where the minimum price fluctuation shall be one-quarter of one thirty-second of one point ($7.8125 per contract) ",Trading terminates on the 7th business day before the last business day of the contract month ,Sunday - Friday 6:00 p.m. - 5:00 p.m. New York time/ET (5:00 p.m. - 4:00 p.m. Chicago Time/CT).  Monday - Thursday 5:00 p.m. - 6:00 p.m. New York Time/ET (4:00 p.m. - 5:00 p.m. Chicago Time/CT) daily maintenance period. 
273,TR,http://www.cmegroup.com/trading/energy/natural-gas/transco-zone-4-natural-gas-basis-swap-futures_contract_specifications.html,CME Globex: TRZCME ClearPort: TRClearing: TR ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
274,TRY,http://www.cmegroup.com/trading/fx/emerging-market/usd-try_contract_specifications.html,,,,,,,
275,TT,http://www.cmegroup.com/trading/agricultural/softs/cotton_contract_specifications.html,CME Globex: TTCME ClearPort: TTClearing: TT ,Financially Settled ,U.S. Dollars per pound ,"50,000 pounds ",$0.0001 per pound ,Trading terminates on the day immediately preceding the first notice day of the corresponding trading month of Cotton futures at ICE Futures U.S. ,CME Globex: 
276,TU,http://www.cmegroup.com/trading/interest-rates/us-treasury/2-year-us-treasury-note_contract_specifications.html,CME Globex: ZTCME ClearPort: 26Clearing: 26 ,Deliverable ,Points and fractions of points with par on the basis of 100 points ,"Face value at maturity of $200,000 ","One-quarter of one thirty-second (1/32) of one point ($15.625, rounded to the nearest cent per contract), including intermonth spreads. ",Last business day of the calendar month. Trading in expiring contracts closes at 12:01 p.m. on the last trading day. ,SUN - FRI: 5:00 p.m. - 4:00 p.m. 
277,TY,http://www.cmegroup.com/trading/interest-rates/us-treasury/10-year-us-treasury-note_contract_specifications.html,CME Globex: ZNCME ClearPort: 21Clearing: 21 ,Deliverable ,Points and fractions of points with par on the basis of 100 points ,"Face value at maturity of $100,000 ","One-half of one thirty-second (1/32) of one point ($15.625, rounded to the nearest cent per contract), except for intermonth spreads, where the minimum price fluctuation shall be one-quarter of one thirty-second of one point ($7.8125 per contract). ",Seventh business day preceding the last business day of the delivery month. Trading in expiring contracts closes at 12:01 p.m. on the last trading day. ,Sunday - Friday 6:00 p.m. - 5:00 p.m. New York time/ET (5:00 p.m. - 4:00 p.m. Chicago Time/CT).  Monday - Thursday 5:00 p.m. - 6:00 p.m. New York Time/ET (4:00 p.m. - 5:00 p.m. Chicago Time/CT) daily maintenance period. 
278,TZ6,http://www.cmegroup.com/trading/energy/natural-gas/transco-zone-6-non-ny-platts-iferc-basis-swap_contract_specifications.html,CME Globex: TZ6CME ClearPort: TZ6Clearing: TZ6 ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
279,U3,http://www.cmegroup.com/trading/energy/electricity/nepool-new-hampshire-5-mw-off-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: AU3 ,Financially Settled ,The contract quantity shall be 5 Megawatts Hours (MWH). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: 
280,U4,http://www.cmegroup.com/trading/energy/electricity/nepool-rhode-island-5-mw-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: AU4 ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours (MWh) and is based on 5 megawatts for peak daily hours. ,80 Megawatt hours (MWh) (5 MW per peak hour). ,$0.05 per MWh ,CME Globex: ,CME Globex: 
281,U5,http://www.cmegroup.com/trading/energy/electricity/nepool-rhode-island-5-mw-off-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: AU5 ,Financially Settled ,The contract quantity shall be 5 Megawatts Hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: 
282,U6,http://www.cmegroup.com/trading/energy/electricity/nepool-internal-hub-5-mw-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: AU6 ,Deliverable ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 Peak Hours x # Peak Days/Month ,"On the last business day of the month prior to the contract month, each U6/AU6 open position converts into a strip of ISO New England Mass Hub Day-Ahead Peak Calendar-Day 5 MW Futures - CE/COL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
283,UA,http://www.cmegroup.com/trading/energy/refined-products/singapore-fuel-oil-180cst-calendar-swap-futures_contract_specifications.html,CME Globex: UACME ClearPort: UAClearing: UA ,Financially Settled ,U.S. dollars and cents per metric ton ,"1,000 metric tons ",$0.001 per metric ton ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
284,UB,http://www.cmegroup.com/trading/energy/crude-oil/european-dated-brent-swap-futures_contract_specifications.html,CME Globex: AUBCME ClearPort: UBClearing: UB ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
285,UL,http://www.cmegroup.com/trading/interest-rates/us-treasury/ultra-t-bond_contract_specifications.html,CME Globex: UBCME ClearPort: UBEClearing: UBE ,Deliverable ,Points and fractions of points with par on the basis of 100 points ,"Face value at maturity of $100,000 ","One 32nd of one point ($31.25 per contract), except for intermonth spreads for which the minimum price increment is one quarter of one thirty-second of one point ($7.8125) ",Seventh business day preceding the last business day of the delivery month. Trading in expiring contracts closes at 12:01 p.m. on the last trading day. ,Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. 
286,UN,http://www.cmegroup.com/trading/energy/refined-products/european-naphtha-calendar-swap_contract_specifications.html,CME Globex: UNCME ClearPort: UNClearing: UN ,Financially Settled ,U.S. dollars and cents per metric ton ,"1,000 metric tons ",$0.001 per metric ton ,Trading terminates on the last business day of the contract month. ,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. ET (4:00 p.m. CT) 
287,US,http://www.cmegroup.com/trading/interest-rates/us-treasury/30-year-us-treasury-bond_contract_specifications.html,CME Globex: ZBCME ClearPort: 17Clearing: 17 ,Deliverable ,Points and fractions of points with par on the basis of 100 points ,"Face value at maturity of $100,000 ","One thirty-second (1/32) of one point ($31.25), except for intermonth spreads, where the minimum price fluctuation shall be one-quarter of one thirty-second of one point ($7.8125 per contract). ",Seventh business day preceding the last business day of the delivery month. Trading in expiring contracts closes at 12:01 p.m. on the last trading day. ,SUN - FRI: 5:00 p.m. - 4:00 p.m. 
288,UV,http://www.cmegroup.com/trading/energy/refined-products/35pct-fuel-oil-swap-rotterdam-platts_contract_specifications.html,CME Globex: UVCME ClearPort: UVClearing: UV ,Financially Settled ,U.S. dollars and cents per metric ton ,"1,000 metric tons ",$0.001 per metric ton ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
289,UX,http://www.cmegroup.com/trading/metals/other/uranium_contract_specifications.html,CME Globex: UXCME ClearPort: UXClearing: UX ,Financially Settled ,U.S. dollars and cents per pound ,250 pounds ,0.05 per pound = $12.50 ,"Trading terminates on the last Monday of the contract month. If the last Monday in the contract month is not a business day, trading terminates on the prior business day. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
290,V3,http://www.cmegroup.com/trading/energy/electricity/pjm-ad-hub-5-mw-off-peak-calendar-month-real-time-swap-futures_contract_specifications.html,CME Globex: V3LCME ClearPort: V3 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # Off-Peak Hours/Month ,"On the last business day of the month prior to the contract month, each V3/V3L open position converts into a strip of PJM AEP Dayton Hub Real-Time Off-Peak Calendar-Day 5 MW Futures - AOR/AOL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
291,VR,http://www.cmegroup.com/trading/energy/refined-products/new-york-harbor-1pct-fuel-oil-vs-gulf-coast-3pct-fuel-oil-spread-swap_contract_specifications.html,CME Globex: VRCME ClearPort: VRClearing: VR ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 U.S. barrels ",$0.001 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
292,W,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/wheat_contract_specifications.html,CME Globex: ZWCME ClearPort: W ,Deliverable ,Cents per bushel ,"5,000 bushels (~ 136 Metric Tons) ",1/4 of one cent per bushel ($12.50 per contract) ,The business day prior to the 15th calendar day of the contract month. ,"Sunday – Friday, 7:00 p.m. – 7:45 a.m. CT and "
293,W4,http://www.cmegroup.com/trading/energy/electricity/pjm-aps-zone-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AW4CME ClearPort: W4Clearing: W4 ,Financially Settled ,The contract quantity shall be 5 Megawatts hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: 
294,W6,http://www.cmegroup.com/trading/energy/electricity/pjm-pseg-zone-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AW6CME ClearPort: W6 ,Financially Settled ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # off-peak hours/month ,CME Globex: ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
295,WCC,http://www.cmegroup.com/trading/energy/crude-oil/canadian-heavy-crude-oil-net-energy-index-futures_contract_specifications.html,CME Globex: WCCCME ClearPort: WCCClearing: WCC ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,"Trading shall cease one Canadian business day prior to the Notice of Shipments (NOS) date on the Enbridge Pipeline. The NOS date occurs on or about the 20th calendar day of the month, subject to confirmation by Enbridge Pipeline. The official schedule for the NOS dates will be made publicly available by Enbridge Pipeline prior to the start of each year. ",CME Globex: 
296,WJ,http://www.cmegroup.com/trading/energy/crude-oil/lls-crude-oil-argus-vs-wti-calendar-spread-swap-futures_contract_specifications.html,CME Globex: AWJCME ClearPort: WJClearing: WJ ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
297,WQ,http://www.cmegroup.com/trading/energy/refined-products/gasoil-01-fob-rotterdam-barges-vs-ice-gasoil-swap_contract_specifications.html,CME Globex: AWQCME ClearPort: WQClearing: WQ ,Financially Settled ,U.S. dollars and cents per metric ton ,"1,000 metric tons ",$0.001 per metric ton ,Trading ceases on the last business day of the contract month. ,CME Globex: 
298,WS,http://www.cmegroup.com/trading/energy/crude-oil/light-sweet-crude-cash-settled_contract_specifications.html,CME Globex: WSCME ClearPort: WSClearing: WS ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease one business day prior to the termination date of the NYMEX Light Sweet Crude Oil Futures Contract for the delivery month. ,CME Globex: 
299,X1,http://www.cmegroup.com/trading/energy/electricity/pjm-aeco-zone-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AX1CME ClearPort: X1 ,Financially Settled ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # off-peak hours/month ,CME Globex: ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
300,XAB,http://www.cmegroup.com/trading/equity-index/select-sector-index/e-mini-materials-select-sector_contract_specifications.html,CME Globex: XAB ,Financially Settled ,,$100 x S&P Materials Select Sector Index ,Outrights: 0.10 Index Points=$10.00 BTIC: 0.10 Index Points=$10.00 Calendar Spread: 0.10 Index Points=$10.00 ,Trading can occur up until 9:30 a.m. Eastern Time (ET) on the 3rd Friday of the contract month  BTIC trading terminates at 4:00 p.m. ET on the Thursday before the 3rd Friday of contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
301,XAE,http://www.cmegroup.com/trading/equity-index/select-sector-index/e-mini-energy-select-sector_contract_specifications.html,CME Globex: XAE ,Financially Settled ,,$100 x S&P Energy Select Sector Index ,Outrights: 0.10 Index Points=$10.00 BTIC: 0.10 Index Points=$10.00 Calendar Spread: 0.10 Index Points=$10.00 ,Trading can occur up until 9:30 a.m.Eastern Time (ET) on the 3rd Friday of the contract month  BTIC trading terminates at 4:00 p.m. ET on the Thursday before the 3rd Friday of contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
302,XAF,http://www.cmegroup.com/trading/equity-index/select-sector-index/e-mini-financial-select-sector_contract_specifications.html,CME Globex: XAF ,Financially Settled ,,$250 x S&P Financial Select Sector Index ,Outrights: 0.05 Index Points=$12.50 Calendar Spread: 0.05 Index Points=$12.50 BTIC: 0.05 Index Points=$12.50 ,Trading can occur up until 9:30 a.m. Eastern Time (ET) on the 3rd Friday of the contract month  BTIC trading terminates at 4:00 p.m. ET on the Thursday before the 3rd Friday of contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
303,XAI,http://www.cmegroup.com/trading/equity-index/select-sector-index/e-mini-industrial-select-sector_contract_specifications.html,CME Globex: XAI ,Financially Settled ,,$100 x S&P Industrial Select Sector Index ,Outrights: 0.10 Index Points=$10.00 BTIC: 0.10 Index Points=$10.00 Calendar Spread: 0.10 Index Points=$10.00 ,Trading can occur up until 9:30 a.m. Eastern Time (ET) on the 3rd Friday of the contract month  BTIC trading terminates at 4:00 p.m. ET on the Thursday before the 3rd Friday of contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
304,XAK,http://www.cmegroup.com/trading/equity-index/select-sector-index/e-mini-technology-select-sector_contract_specifications.html,CME Globex: XAK ,Financially Settled ,,$100 x S&P Select Sector Technology Index ,Outrights: 0.10 Index Points=$10.00 BTIC: 0.10 Index Points=$10.00 Calendar Spread: 0.10 Index Points=$10.00 ,Trading can occur up until 9:30 a.m. Eastern Time (ET) on the 3rd Friday of the contract month  BTIC trading terminates at 4:00 p.m. ET on the Thursday before the 3rd Friday of contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
305,XAP,http://www.cmegroup.com/trading/equity-index/select-sector-index/e-mini-consumer-staples-select-sector_contract_specifications.html,CME Globex: XAP ,Financially Settled ,,$100 x S&P Consumer Staples Select Sector Index ,Outrights: 0.10 Index Points=$10.00 BTIC: 0.10 Index Points=$10.00 Calendar Spread: 0.10 Index Points=$10.00 ,Trading can occur up until 9:30 a.m. Eastern Time (ET) on the 3rd Friday of the contract month  BTIC trading terminates at 4:00 p.m. ET on the Thursday before the 3rd Friday of contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
306,XAR,http://www.cmegroup.com/trading/equity-index/us-index/e-mini-sp-real-estate-select-sector-index_quotes_settlements_futures.html,,,,,,,
307,XAU,http://www.cmegroup.com/trading/equity-index/select-sector-index/e-mini-utilities-select-sector_contract_specifications.html,,,,,,,
308,XAV,http://www.cmegroup.com/trading/equity-index/select-sector-index/e-mini-health-care-select-sector_contract_specifications.html,CME Globex: XAV ,Financially Settled ,,$100 x S&P Health Care Select Sector Index ,Outrights: 0.10 Index Points=$10.00 BTIC: 0.10 Index Points=$10.00 Calendar Spread: 0.10 Index Points=$10.00 ,Trading can occur up until 9:30 a.m. EasternTime (ET) on the 3rd Friday of the contract month  BTIC trading terminates at 4:00 p.m. ET on the Thursday before the 3rd Friday of contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
309,XAY,http://www.cmegroup.com/trading/equity-index/select-sector-index/e-mini-consumer-discretionary-select-sector_contract_specifications.html,CME Globex: XAY ,Financially Settled ,,$100 x S&P Consumer Discretionary Select Sector Index ,Outrights: 0.10 Index Points=$10.00 BTIC: 0.10 Index Points=$10.00 Calendar Spread: 0.10 Index Points=$10.00 ,Trading can occur up until 9:30 a.m. Eastern Time (ET) on the 3rd Friday of the contract month  BTIC trading terminates at 4:00 p.m. ET on the Thursday before the 3rd Friday of contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
310,XN,http://www.cmegroup.com/trading/energy/natural-gas/socal-swap-platts-iferc-futures_contract_specifications.html,,,,,,,
311,Y1,http://www.cmegroup.com/trading/energy/electricity/pjm-aeco-zone-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AY1CME ClearPort: Y1Clearing: Y1 ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours and is based on 5 megawatts for peak daily hours. Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of peak days in the contract month. ,80 Megawatt hours (MWh) (5 MW per peak hour). ,$0.05 per MWh ,CME Globex: ,CME Globex: 
312,YC,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/mini-sized-corn_contract_specifications.html,CME Globex: XCCME ClearPort: YC ,Deliverable ,Cents per bushel ,"1,000 bushels (~ 25 Metric Tons) ",1/8 of one cent per bushel ($1.25 per contract) ,The business day prior to the 15th calendar day of the contract month. ,"Sunday - Friday, 7:00 p.m. - 7:45 a.m. CT and "
313,YH,http://www.cmegroup.com/trading/energy/refined-products/new-york-heating-oil-platts-vs-nymex-heating-oil-swap_contract_specifications.html,CME Globex: AYHCME ClearPort: YHClearing: YH ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 U.S. gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
314,YK,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/mini-sized-soybean_contract_specifications.html,CME Globex: XKCME ClearPort: YK ,Deliverable ,U.S. Cents per bushel ,"1,000 bushels (~ 27 metric tons) ",1/8 cent (0.00125) per bushel = $1.25 ,Trading terminates on the business day prior to the 15th calendar day of the contract month. ,"Sunday - Friday, 7:00 p.m. - 7:45 a.m. CT and "
315,YM,http://www.cmegroup.com/trading/equity-index/us-index/e-mini-dow_contract_specifications.html,CME Globex: YM ,Financially Settled ,,"$5 x Dow Jones Industrial Average (""DJIA"") ",1.00 index point = $5.00 ,Trading can occur up to 9:30 a.m. ET on the 3rd Friday of the contract month  BTIC trading terminates at 4:00 p.m. ET on the Thursday before the 3rd Friday of contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
316,YO,http://www.cmegroup.com/trading/agricultural/softs/sugar-no11_contract_specifications.html,CME Globex: YOCME ClearPort: YOClearing: YO ,Financially Settled ,U.S. Dollars per pound ,"112,000 pounds ",$0.0001 per pound ,Trading terminates on the day immediately preceding the first notice day of the corresponding trading month of Sugar No. 11 futures at ICE Futures U.S. ,CME Globex: 
317,YW,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/mini-sized-wheat_contract_specifications.html,CME Globex: XWCME ClearPort: YW ,Deliverable ,U.S. cents per bushel ,"1,000 bushels ",1/8 cent per bushel = $1.25 ,Trading terminates on the business day prior to the 15th calendar day of the contract month. ,CME Globex: 
318,YX,http://www.cmegroup.com/trading/energy/crude-oil/mars-crude-oil-argus-vs-wti-calendar-spread-swap-futures_contract_specifications.html,CME Globex: AYXCME ClearPort: YXClearing: YX ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
319,Z,http://www.cmegroup.com/trading/fx/emerging-market/euro-fx-polish-zloty_contract_specifications.html,CME Globex: EPZCME ClearPort: ZClearing: Z ,Deliverable ,,"500,000 Polish zloty ",€.00002 euro per Polish zloty increments (10 euro). €.00001 euro per Polish zloty increments (5 euro) for PLN/EUR futures intra-currency spreads executed electronically. ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,CME Globex: 
320,Z1,http://www.cmegroup.com/trading/energy/ethanol/ethanol-platts-t2-fob-rotterdam-including-duty-swap-futures_contract_specifications.html,CME Globex: AZ1CME ClearPort: Z1Clearing: Z1 ,Financially Settled ,Euro and Cents per cubic meter ,100 cubic meters ,€0.001 per cubic meter ,Trading terminates on the last business day of the contract month. ,CME Globex: 
321,Z1D,http://www.cmegroup.com/europe/products/energy/biofuels/european-ethanol-t2-fob-rotterdam-inc-duty-platts-calendar-future_contract_specifications.html,,,,,,,
322,Z9,http://www.cmegroup.com/trading/energy/electricity/pjm-ad-hub-5-mw-peak-real-time-lmp-swap-futures_contract_specifications.html,CME Globex: AZ9 ,Deliverable ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 Peak Hours x # Peak Days/Month ,"On the last business day of the month prior to the contract month, each Z9/AZ9 open position converts into a strip of PJM AEP Dayton Hub Real-Time Peak Calendar-Day 5 MW Futures - VD/VDL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
323,ZNC,http://www.cmegroup.com/metals/base/zinc_contract_specifications.html,,,,,,,
